distance,alpha,order,pdet,eps,eps_err
11,1.0748,6,0.375230072,0.045601428437932745,0.0010841866111465908
11,1.1574,6,0.401258084,0.0556501728227608,0.0032434172202462255
11,1.2401,6,0.42049926,0.07041113618142342,0.016979794815160265
11,1.3228,6,0.445901548,0.06941690902553371,0.015161373997053362
11,1.4054,6,0.461199986,0.07449114994723449,0.027102473189562465
11,1.4881,6,0.469969524,0.5,0.0
11,1.5708,6,0.47823838,0.5,0.0
13,0.0,7,0.10384092333333333,0.00033417387909190355,2.6277426912376883e-06
13,0.0827,7,0.105645215,0.00031808772053598666,2.561693639464507e-06
13,0.1653,7,0.123680635,0.0003681019161442256,2.7625134088452175e-06
13,0.248,7,0.12403744,0.0005097049874412951,3.273482912527678e-06
13,0.3307,7,0.13623346833333333,0.0007244719090166996,3.944452874113041e-06
13,0.4134,7,0.14908710666666666,0.0012230710667834876,5.255047945062855e-06
13,0.496,7,0.18360335333333333,0.0018900736658447048,6.759850147342836e-06
13,0.5787,7,0.21504219,0.0032745763315674137,9.576011984949945e-06
13,0.6614,7,0.22924399166666667,0.004506488156447996,1.2026847543124851e-05
13,0.7441,7,0.2581835416666667,0.007275782654291685,1.7986022960224834e-05
13,0.8267,7,0.28739729833333333,0.011849505256956605,3.088251266916666e-05
13,0.9094,7,0.3120569366666667,0.017916387667511524,5.8994308917673497e-05
13,0.9921,7,0.33844910166666664,0.028143730376147813,0.00017068314392717606
13,1.0748,7,0.37526624833333333,0.042969637074395106,0.0008169498721452903
13,1.1574,7,0.401541325,0.054808254091793907,0.0029561070815525272
13,1.2401,7,0.4207162483333333,0.07635897011395393,0.0336223028916454
13,1.3228,7,0.44614870166666665,0.06373502179454832,0.007975588978731012
13,1.4054,7,0.46148716,0.5,0.0
13,1.4881,7,0.47002588166666665,0.5,0.0
13,1.5708,7,0.47829867833333334,0.5,0.0
15,0.0,8,0.10357054428571429,0.0002442402980118441,2.2366138758704334e-06
15,0.0827,8,0.10533671,0.0002336757148193036,2.186576542566485e-06
15,0.1653,8,0.12426065285714286,0.0002693443262665185,2.3516353727633483e-06
15,0.248,8,0.12387932571428571,0.0003882762095668846,2.8400208767336028e-06
15,0.3307,8,0.13607753714285714,0.0005509762612148639,3.4103831641444245e-06
15,0.4134,8,0.1482332357142857,0.0009460575329396925,4.557683149145262e-06
15,0.496,8,0.18377282142857143,0.001502919545967929,5.908893933117127e-06
15,0.5787,8,0.21557418571428572,0.002689069026670543,8.408799667424455e-06
15,0.6614,8,0.22922938714285715,0.0036767247183960294,1.037245532344194e-05
15,0.7441,8,0.25816351428571427,0.006068376107441487,1.527492484639288e-05
15,0.8267,8,0.2875016128571429,0.010018738667717575,2.5116991636003005e-05
15,0.9094,8,0.3119306742857143,0.015541079706737515,4.597290135231729e-05
15,0.9921,8,0.33878785857142857,0.02529800791705472,0.00012696609512457754
15,1.0748,8,0.3755879542857143,0.04105697926075219,0.000665746999470877
15,1.1574,8,0.4018409885714286,0.05711879646363305,0.003814642632187945
15,1.2401,8,0.42088174142857143,0.5,0.0
15,1.3228,8,0.44649883142857144,0.06363982537960344,0.007890775908400675
15,1.4054,8,0.46192939714285713,0.5,0.0
15,1.4881,8,0.47018073857142856,0.5,0.0
15,1.5708,8,0.47847210285714287,0.5,0.0
17,0.0,9,0.1034640125,0.00017552113177954354,1.8896812579605065e-06
17,0.0827,9,0.10524738375,0.00016189770392471825,1.8136583509184878e-06
17,0.1653,9,0.12482339375,0.00019393147696183943,1.988100759547063e-06
17,0.248,9,0.12403432625,0.000289385718195978,2.439950659629179e-06
17,0.3307,9,0.13598231875,0.00041082229501887557,2.9245560240155385e-06
17,0.4134,9,0.1474380975,0.0007192553803195834,3.929205919500117e-06
17,0.496,9,0.18387865125,0.0011866726865936705,5.166732340279715e-06
17,0.5787,9,0.21610637,0.002210845530506711,7.434279154372086e-06
17,0.6614,9,0.22910418875,0.003025455835028057,9.081391331716262e-06
17,0.7441,9,0.2580530025,0.0051205638142489684,1.3276669056240628e-05
17,0.8267,9,0.28737987375,0.00868893324186193,2.1465871091277925e-05
17,0.9094,9,0.311547615,0.01353751047751306,3.712696515191685e-05
17,0.9921,9,0.3386099925,0.022416241352601007,9.416279741614682e-05
17,1.0748,9,0.3757166775,0.037403290807767886,0.000451351178634903
17,1.1574,9,0.40194243375,0.05960671699814235,0.005027312866516817
17,1.2401,9,0.420836295,0.06322360031540292,0.00753062251416065
17,1.3228,9,0.44656314625,0.5,0.0
17,1.4054,9,0.46209183125,0.5,0.0
17,1.4881,9,0.47010658,0.06464098420852299,0.008830807386699979
17,1.5708,9,0.47846454875,0.5,0.0
19,0.0,10,0.10293771444444444,0.00012358544360568935,1.5816399404446608e-06
19,0.0827,10,0.10485074666666666,0.00011239679841901218,1.5075240608057284e-06
19,0.1653,10,0.1253603722222222,0.0001363064344915288,1.6620778209575324e-06
19,0.248,10,0.12375432222222223,0.00021396805088652604,2.0903252736231094e-06
19,0.3307,10,0.13578268333333332,0.000308703807977706,2.522463095305919e-06
19,0.4134,10,0.14662540555555556,0.0005361887223411244,3.3618468900412393e-06
19,0.496,10,0.18377496555555556,0.0009216183395762134,4.4929193466153435e-06
19,0.5787,10,0.21645794777777777,0.0018222551444187496,6.614196382353107e-06
19,0.6614,10,0.22874301,0.0025218658371144453,8.07118651560628e-06
19,0.7441,10,0.25772720111111114,0.00437790236345692,1.1768455977885553e-05
19,0.8267,10,0.2871117677777778,0.007544141239127666,1.8619051945515705e-05
19,0.9094,10,0.3110808133333333,0.011868049001038883,3.094591365808039e-05
19,0.9921,10,0.33820937333333334,0.020243796293170413,7.516414988362511e-05
19,1.0748,10,0.37557398555555555,0.035582442743401554,0.00037228215613851454
19,1.1574,10,0.4017968922222222,0.05845678547387867,0.00442427189346298
19,1.2401,10,0.4205810111111111,0.06786426372769311,0.01270987165772071
19,1.3228,10,0.4464591044444444,0.05705796716125178,0.0037890575040418167
19,1.4054,10,0.46213898,0.5,0.0
19,1.4881,10,0.4698814611111111,0.07259881132472235,0.021806181420267596
19,1.5708,10,0.47828076333333336,0.06286926512312169,0.007237258541923081
21,0.0,11,0.102100365,8.509384293120537e-05,1.3099635015691257e-06
21,0.0827,11,0.104264665,7.652625567239335e-05,1.241750567340262e-06
21,0.1653,11,0.124773841,9.294201657444878e-05,1.3695630039209282e-06
21,0.248,11,0.122557087,0.00015202700853239604,1.7566547474255709e-06
21,0.3307,11,0.135619868,0.00023111811072085153,2.1743054631746414e-06
21,0.4134,11,0.145495039,0.0004008118360244728,2.887282271289725e-06
21,0.496,11,0.18296008,0.0007179677595561262,3.925435718224981e-06
21,0.5787,11,0.216056279,0.0015091797609938506,5.923084350864853e-06
21,0.6614,11,0.227347535,0.0020737797627326526,7.148719610100486e-06
21,0.7441,11,0.257001515,0.003769897983924242,1.0557100326614537e-05
21,0.8267,11,0.286196157,0.006633517072318296,1.6517718355306447e-05
21,0.9094,11,0.309963441,0.010568261287933145,2.675026345682189e-05
21,0.9921,11,0.337043962,0.018301252065243356,6.141162404063628e-05
21,1.0748,11,0.374576125,0.03290489628804599,0.00028082101899109873
21,1.1574,11,0.400916363,0.05089395677056058,0.0019249942320366
21,1.2401,11,0.420069926,0.05674515933302421,0.0036602274201487906
21,1.3228,11,0.44562729,0.06322360031540292,0.00753062251416065
21,1.4054,11,0.461683336,0.07295488211934781,0.022715164239029948
