distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.3114588,0.008917301684994827,6.977495345161828e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0591107,0.0026006290025414325,2.602733115223582e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1760626,0.008067044062999185,6.28934149557184e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.2954845,0.016109046114586634,0.00015435836089801753
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.169688,0.005875445293667014,4.699169025459115e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0641307,0.003163121042407291,2.958297377082621e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0821362,0.0033496128342457854,3.075217467181619e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1203549,0.006152257009351847,4.887844708081781e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.2258703,0.0028804986524262888,2.7804087682307785e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.3147312,0.008055069078788779,6.279970580499818e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1973332,0.0049066059717441934,4.059694689769481e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0494629,0.002461115837326888,2.5133125866243793e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.096434,0.004556698507734991,3.835215596135167e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1819819,0.01046347536911435,8.358770398349762e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.2312426,0.011801362189068187,9.714015617802873e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1457136,0.004269515928211121,3.6528640358180917e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0728036,0.002474624133339487,2.5220009719161435e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0989705,0.006496688504931902,5.1269506356512194e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1058853,0.004660278235508797,3.901377613665474e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.160365,0.007026676965395939,5.505200624439809e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1361968,0.007449173326990133,5.8165820674386036e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0538519,0.002396373141094421,2.4715714010522954e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0447548,0.0018701563688798273,2.124165567468453e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0477683,0.0019306542372609092,2.1650318327148967e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0598759,0.0026937588965896264,2.662078608378253e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0815969,0.0035924277590357323,3.227262147610837e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0831085,0.004032999405570448,3.503671663172779e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0754342,0.004175873711520228,3.593703316816523e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0725595,0.003249191579823618,3.012288005239528e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1290333,0.004680234291978835,3.914151135025529e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1891551,0.004223041067553335,3.623486101445189e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1122675,0.0028038090301821805,2.731908854468271e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0348541,0.0011433760416943994,1.600273940458132e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0349746,0.001286226507010546,1.7096242762531333e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0395952,0.0013078053102403286,1.7257962133831205e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0577345,0.0015928090594066746,1.9325041821434298e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0626713,0.0017906843572594866,2.0700136346796726e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0561506,0.001999299645893793,2.211060019272164e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0659345,0.002847900857759378,2.7598081006597835e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0601332,0.0025892733108874855,2.5954791865987505e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0468042,0.0018631897209070991,2.1194404117959532e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0504616,0.0014874247015751463,1.8574265699591776e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0581337,0.0015876657529568794,1.928872421855455e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0521209,0.0017255606821486302,2.0252055661904704e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0398367,0.0016101283834683566,1.944710447464148e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0322327,0.0010451805836331207,1.5224556052194553e-05
distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.0342246,0.000961760219214236,1.4543234546580899e-05
