d,i,P_L,err,pdet_mean
3,0,0.41255,0.0034810379019769378,0.29605
3,1,0.41435,0.0034832748778986706,0.30022272727272725
3,2,0.4194,0.0034892953443352998,0.30427272727272725
3,3,0.41564999999999996,0.0034848606679464245,0.3049136363636364
3,4,0.40615,0.003472694756957484,0.30508863636363637
3,5,0.40505,0.003471199342446354,0.3034227272727273
3,6,0.41559999999999997,0.003484800137741044,0.29665
3,7,0.40364999999999995,0.0034692699340062886,0.2972681818181818
3,8,0.41664999999999996,0.0034860635213661843,0.29956818181818184
3,9,0.41415,0.003483028692818938,0.3003909090909091
3,10,0.41374999999999995,0.0034825345475673316,0.29912727272727274
3,11,0.4164,0.0034857641916802118,0.29559772727272726
3,12,0.41779999999999995,0.0034874285655766483,0.29766590909090906
3,13,0.41890000000000005,0.003488716024556886,0.29845
3,14,0.4182,0.003487898794403301,0.2938
5,0,0.3922,0.0034523843934301406,0.30016136363636364
5,1,0.3849,0.0034405812735641052,0.3025681818181818
5,2,0.3891,0.003447471464711492,0.3046806818181818
5,3,0.38785000000000003,0.003445449009200397,0.30416818181818184
5,4,0.378,0.0034286732127748773,0.30086931818181817
5,5,0.38395,0.0034389852972933747,0.3003454545454545
5,6,0.3759,0.0034249028453373683,0.29810909090909093
5,7,0.37415,0.003421708473116902,0.29882954545454543
5,8,0.3809,0.0034337675372686487,0.2993477272727273
5,9,0.38970000000000005,0.003448433774918695,0.2979943181818182
5,10,0.3932,0.0034539380422931735,0.29839659090909093
5,11,0.39035,0.0034494700861146775,0.2970238636363636
5,12,0.392,0.003452071841662627,0.29573295454545456
7,0,0.36334999999999995,0.0034009320597447987,0.30180378787878787
7,1,0.36655000000000004,0.0034072796884024653,0.3028530303030303
7,2,0.36665000000000003,0.0034074754401169204,0.3020037878787879
7,3,0.367,0.0034081593272615642,0.3018681818181818
7,4,0.35760000000000003,0.0033891166990825208,0.30043560606060604
7,5,0.35055000000000003,0.0033739049890297744,0.30036060606060605
7,6,0.35634999999999994,0.003386478093093177,0.29844848484848485
7,7,0.35719999999999996,0.0033882750773808197,0.2977522727272727
7,8,0.36745000000000005,0.0034090357690995266,0.2987871212121212
7,9,0.3657,0.003405609416829828,0.2981462121212121
7,10,0.3692,0.0034124138084353135,0.29686439393939396
9,0,0.3519,0.003376880142972208,0.30051534090909093
9,1,0.34765,0.0033674135289566086,0.3014568181818182
9,2,0.34919999999999995,0.0033709001765107197,0.30139488636363637
9,3,0.3456,0.003362741738522303,0.30149886363636363
9,4,0.3405,0.003350818929754337,0.30010852272727273
9,5,0.3429,0.0033564832041885744,0.29916988636363634
9,6,0.3496,0.0033717935879884462,0.29825284090909093
9,7,0.34355,0.003358000874776539,0.29792670454545456
9,8,0.34704999999999997,0.0033660533084013985,0.29754034090909093
11,0,0.33440000000000003,0.0033359904076600702,0.3003259090909091
11,1,0.3308,0.0033269457464767892,0.3012436363636364
11,2,0.3318,0.003329480139601376,0.30094136363636365
11,3,0.33699999999999997,0.003342386871683169,0.30031863636363637
11,4,0.33814999999999995,0.0033451799465798546,0.29962
11,5,0.33094999999999997,0.0033273269864862996,0.2990259090909091
11,6,0.33404999999999996,0.003335120668731493,0.2973622727272727
13,0,0.32585,0.003314149796705031,0.3001261363636364
13,1,0.3198,0.003297938446969561,0.3003026515151515
13,2,0.3275,0.0033184616164723076,0.3003954545454545
13,3,0.32420000000000004,0.003309791232087003,0.30000719696969697
13,4,0.32125000000000004,0.003301881565865136,0.29865
15,0,0.31245,0.0032773846089526938,0.29977467532467533
15,1,0.31320000000000003,0.0032795255754453265,0.300037987012987
15,2,0.31245,0.0032773846089526938,0.29945324675324675
17,0,0.30465,0.0032545228336885268,0.2990278409090909
